Date,Not indexed,Indexed,Impressions
2026-06-01,,,316
2026-06-02,,,247
2026-06-03,,,242
2026-06-04,118,16,219
2026-06-05,117,17,245
2026-06-06,117,17,291
2026-06-07,117,17,226
2026-06-08,114,20,195
2026-06-09,114,20,207
2026-06-10,114,20,223
2026-06-11,114,20,171
2026-06-12,109,25,165
2026-06-13,109,25,163
2026-06-14,109,25,173
2026-06-15,109,25,195
2026-06-16,109,25,194
2026-06-17,109,25,171
2026-06-18,109,25,171
2026-06-19,109,25,186
2026-06-20,109,25,151
2026-06-21,109,25,128
2026-06-22,109,25,126
2026-06-23,109,25,114
2026-06-24,109,25,125
2026-06-25,109,25,111
2026-06-26,109,25,142
2026-06-27,109,25,156
2026-06-28,109,25,168
2026-06-29,109,25,153
2026-06-30,109,29,145
2026-07-01,109,29,121
2026-07-02,109,29,132
2026-07-03,109,29,126
2026-07-04,109,29,136
2026-07-05,109,29,122
2026-07-06,109,29,113
2026-07-07,109,29,152
2026-07-08,109,29,161
2026-07-09,109,29,143
2026-07-10,108,41,199
2026-07-11,108,41,178
2026-07-12,108,41,190
2026-07-13,108,41,165
2026-07-14,108,41,168
2026-07-15,108,41,145
2026-07-16,108,41,155
2026-07-17,108,41,132
2026-07-18,108,41,194
2026-07-19,108,41,148
2026-07-20,108,41,138
2026-07-21,108,41,164
2026-07-22,108,41,170
2026-07-23,108,41,174
2026-07-24,111,40,199
2026-07-25,111,40,198
2026-07-26,111,40,222
2026-07-27,111,40,218
2026-07-28,111,40,189
2026-07-29,111,40,262
2026-07-30,111,40,185
2026-07-31,111,40,205
2026-08-01,111,40,234
2026-08-02,111,40,179
2026-08-03,111,40,120
2026-08-04,111,40,215
2026-08-05,109,42,193
2026-08-06,109,42,153
2026-08-07,110,41,171
2026-08-08,110,41,195
2026-08-09,110,41,218
2026-08-10,111,40,209
2026-08-11,111,40,228
2026-08-12,111,40,224
2026-08-13,111,40,194
2026-08-14,175,44,210
2026-08-15,175,44,220
2026-08-16,175,44,231
2026-08-17,177,44,207
2026-08-18,177,44,251
2026-08-19,177,44,233
2026-08-20,177,44,176
