Date,Not indexed,Indexed,Impressions
2026-06-01,,,38
2026-06-02,,,41
2026-06-03,,,68
2026-06-04,58,7,31
2026-06-05,58,8,40
2026-06-06,58,8,33
2026-06-07,58,8,46
2026-06-08,61,6,46
2026-06-09,61,6,17
2026-06-10,61,6,18
2026-06-11,61,6,12
2026-06-12,61,4,6
2026-06-13,61,4,11
2026-06-14,61,4,7
2026-06-15,61,4,4
2026-06-16,61,4,8
2026-06-17,61,4,2
2026-06-18,61,4,2
2026-06-19,61,4,2
2026-06-20,61,4,5
2026-06-21,61,4,6
2026-06-22,61,4,5
2026-06-23,61,4,3
2026-06-24,61,4,4
2026-06-25,61,4,5
2026-06-26,61,4,4
2026-06-27,61,4,6
2026-06-28,61,4,7
2026-06-29,61,4,2
2026-06-30,61,4,1
2026-07-01,61,4,1
2026-07-02,61,4,11
2026-07-03,61,4,2
2026-07-04,61,4,7
2026-07-05,61,4,1
2026-07-06,61,4,2
2026-07-07,61,4,11
2026-07-08,61,4,2
2026-07-09,61,4,5
2026-07-10,105,10,1
2026-07-11,105,10,0
2026-07-12,105,10,2
2026-07-13,105,10,6
2026-07-14,105,10,17
2026-07-15,105,10,3
2026-07-16,105,10,9
2026-07-17,105,10,5
2026-07-18,105,10,5
2026-07-19,105,10,3
2026-07-20,105,10,8
2026-07-21,105,10,9
2026-07-22,105,10,9
2026-07-23,105,10,26
2026-07-24,99,20,13
2026-07-25,99,20,21
2026-07-26,99,20,16
2026-07-27,99,20,14
2026-07-28,99,20,23
2026-07-29,99,20,19
2026-07-30,99,20,31
2026-07-31,99,20,36
2026-08-01,99,20,46
2026-08-02,99,20,30
2026-08-03,99,20,16
2026-08-04,99,20,27
2026-08-05,98,20,22
2026-08-06,98,20,27
2026-08-07,94,26,14
2026-08-08,94,26,36
2026-08-09,94,26,39
2026-08-10,99,21,45
2026-08-11,99,21,72
2026-08-12,99,21,65
2026-08-13,99,21,43
2026-08-14,142,25,23
2026-08-15,142,25,43
2026-08-16,142,25,28
2026-08-17,140,29,43
2026-08-18,140,29,41
2026-08-19,140,29,41
2026-08-20,140,29,49
